               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.049113,            0.068546,            0.024595,             0.63666,             0.48759,             0.58754,             0.42104,            0.044104,            0.049244,            0.017763,            0.005182,            0.005182,            0.005182
                 148,            0.049088,            0.068366,             0.02456,             0.64237,             0.48634,             0.58765,             0.42147,            0.044092,            0.049234,             0.01774,            0.005149,            0.005149,            0.005149
                 149,            0.048968,            0.068554,            0.024471,             0.64356,             0.48561,             0.58863,             0.42174,            0.044081,            0.049226,             0.01771,            0.005116,            0.005116,            0.005116
                 150,            0.048975,            0.068217,            0.024525,              0.6069,             0.50437,             0.58916,             0.42271,            0.044069,            0.049214,            0.017693,            0.005083,            0.005083,            0.005083
                 151,            0.048966,            0.068221,            0.024545,             0.60613,             0.50473,             0.58938,             0.42245,            0.044063,            0.049199,            0.017682,             0.00505,             0.00505,             0.00505
                 152,            0.048956,            0.068234,            0.024426,             0.64915,             0.48225,             0.58897,             0.42189,            0.044053,             0.04918,            0.017667,            0.005017,            0.005017,            0.005017
                 153,            0.048944,            0.068116,            0.024313,             0.63374,             0.48977,             0.58855,             0.42187,             0.04404,            0.049171,            0.017658,            0.004984,            0.004984,            0.004984
                 154,            0.048865,            0.068126,            0.024325,             0.60408,             0.50626,             0.58911,             0.42233,            0.044029,            0.049165,            0.017641,            0.004951,            0.004951,            0.004951
                 155,            0.048905,            0.068016,            0.024231,             0.60535,             0.50586,             0.58974,             0.42297,            0.044021,            0.049161,            0.017635,            0.004918,            0.004918,            0.004918
                 156,            0.048806,            0.068047,            0.024287,             0.61831,             0.49944,             0.59031,             0.42335,            0.044006,            0.049154,            0.017608,            0.004885,            0.004885,            0.004885
                 157,            0.048782,            0.068028,            0.024224,             0.61999,             0.50057,             0.59055,             0.42372,            0.043987,             0.04915,            0.017589,            0.004852,            0.004852,            0.004852
                 158,            0.048828,             0.06804,            0.024277,             0.60969,             0.50765,             0.59196,             0.42449,            0.043971,            0.049144,            0.017579,            0.004819,            0.004819,            0.004819
                 159,            0.048798,            0.068209,            0.024239,             0.61614,              0.5046,             0.59215,             0.42459,            0.043955,            0.049136,            0.017575,            0.004786,            0.004786,            0.004786
                 160,            0.048712,            0.067883,            0.024134,             0.65307,             0.48619,             0.59212,              0.4248,             0.04394,             0.04913,            0.017547,            0.004753,            0.004753,            0.004753
                 161,            0.048744,            0.068223,            0.024082,             0.64508,             0.49021,              0.5924,             0.42466,             0.04393,            0.049126,            0.017517,             0.00472,             0.00472,             0.00472
                 162,              0.0487,            0.068036,            0.024073,              0.6329,             0.49663,             0.59198,             0.42451,            0.043919,            0.049111,             0.01751,            0.004687,            0.004687,            0.004687
